,Sex,State,Age Group,Year,Population,Deaths SF,Crude Rate SF,Deaths SI,Crude Rate SI,Deaths HF,Crude Rate HF,Deaths HI,Crude Rate HI
68,Males,Alaska,80-84 yrs,1999,1466,0,0.0,0,0.0,0,0.0,0,0.0
69,Females,Alaska,80-84 yrs,1999,2061,0,0.0,0,0.0,0,0.0,0,0.0
70,Males,Alaska,85+ yrs,1999,834,0,0.0,0,0.0,0,0.0,0,0.0
71,Females,Alaska,85+ yrs,1999,1627,0,0.0,0,0.0,0,0.0,0,0.0
72,Males,Arizona,00-04 yrs,1999,192391,0,0.0,0,0.0,0,0.0,0,0.0
73,Females,Arizona,00-04 yrs,1999,183697,0,0.0,0,0.0,0,0.0,0,0.0
74,Males,Arizona,05-09 yrs,1999,194666,0,0.0,0,0.0,0,0.0,0,0.0
75,Females,Arizona,05-09 yrs,1999,185805,0,0.0,0,0.0,0,0.0,0,0.0
76,Males,Arizona,10-14 yrs,1999,186672,0,0.0,0,0.0,0,0.0,0,0.0
77,Females,Arizona,10-14 yrs,1999,177345,0,0.0,0,0.0,0,0.0,0,0.0
78,Males,Arizona,15-19 yrs,1999,186468,25,13.41,30,16.09,41,21.99,49,26.28
79,Females,Arizona,15-19 yrs,1999,173368,0,0.0,0,0.0,10,5.77,11,6.34
80,Males,Arizona,20-24 yrs,1999,184588,26,14.09,38,20.59,51,27.63,62,33.59
81,Females,Arizona,20-24 yrs,1999,166323,0,0.0,0,0.0,11,6.61,12,7.21
82,Males,Arizona,25-29 yrs,1999,193387,38,19.65,59,30.51,57,29.47,68,35.16
83,Females,Arizona,25-29 yrs,1999,178042,0,0.0,0,0.0,0,0.0,15,8.42
84,Males,Arizona,30-34 yrs,1999,190370,40,21.01,64,33.62,28,14.71,44,23.11
85,Females,Arizona,30-34 yrs,1999,176739,0,0.0,12,6.79,0,0.0,15,8.49
86,Males,Arizona,35-39 yrs,1999,199784,31,15.52,57,28.53,28,14.02,43,21.52
87,Females,Arizona,35-39 yrs,1999,193497,0,0.0,21,10.85,0,0.0,13,6.72
88,Males,Arizona,40-44 yrs,1999,184826,26,14.07,53,28.68,13,7.03,26,14.07
89,Females,Arizona,40-44 yrs,1999,183329,10,5.45,21,11.45,0,0.0,12,6.55
90,Males,Arizona,45-49 yrs,1999,158726,31,19.53,56,35.28,11,6.93,25,15.75
91,Females,Arizona,45-49 yrs,1999,163841,0,0.0,15,9.16,0,0.0,10,6.1
92,Males,Arizona,50-54 yrs,1999,137500,27,19.64,39,28.36,0,0.0,11,8.0
93,Females,Arizona,50-54 yrs,1999,144700,0,0.0,24,16.59,0,0.0,0,0.0
94,Males,Arizona,55-59 yrs,1999,109102,30,27.5,40,36.66,0,0.0,0,0.0
95,Females,Arizona,55-59 yrs,1999,120209,0,0.0,14,11.65,0,0.0,0,0.0
96,Males,Arizona,60-64 yrs,1999,94340,26,27.56,28,29.68,0,0.0,0,0.0
97,Females,Arizona,60-64 yrs,1999,104097,0,0.0,0,0.0,0,0.0,0,0.0
98,Males,Arizona,65-69 yrs,1999,89859,18,20.03,20,22.26,0,0.0,0,0.0
99,Females,Arizona,65-69 yrs,1999,98389,0,0.0,0,0.0,0,0.0,0,0.0
100,Males,Arizona,70-74 yrs,1999,80805,21,25.99,25,30.94,0,0.0,0,0.0
101,Females,Arizona,70-74 yrs,1999,93661,0,0.0,0,0.0,0,0.0,0,0.0
102,Males,Arizona,75-79 yrs,1999,62549,34,54.36,40,63.95,0,0.0,0,0.0
103,Females,Arizona,75-79 yrs,1999,79267,0,0.0,0,0.0,0,0.0,0,0.0
104,Males,Arizona,80-84 yrs,1999,37336,27,72.32,31,83.03,0,0.0,0,0.0
105,Females,Arizona,80-84 yrs,1999,51946,0,0.0,0,0.0,0,0.0,0,0.0
106,Males,Arizona,85+ yrs,1999,22155,12,54.16,17,76.73,0,0.0,0,0.0
107,Females,Arizona,85+ yrs,1999,44045,0,0.0,0,0.0,0,0.0,0,0.0
108,Males,Arkansas,00-04 yrs,1999,92533,0,0.0,0,0.0,0,0.0,0,0.0
109,Females,Arkansas,00-04 yrs,1999,88594,0,0.0,0,0.0,0,0.0,0,0.0
110,Males,Arkansas,05-09 yrs,1999,96371,0,0.0,0,0.0,0,0.0,0,0.0
111,Females,Arkansas,05-09 yrs,1999,91756,0,0.0,0,0.0,0,0.0,0,0.0
112,Males,Arkansas,10-14 yrs,1999,99340,0,0.0,0,0.0,0,0.0,0,0.0
113,Females,Arkansas,10-14 yrs,1999,93689,0,0.0,0,0.0,0,0.0,0,0.0
114,Males,Arkansas,15-19 yrs,1999,102853,16,15.56,23,22.36,0,0.0,0,0.0
115,Females,Arkansas,15-19 yrs,1999,97269,0,0.0,0,0.0,0,0.0,0,0.0
116,Males,Arkansas,20-24 yrs,1999,90577,18,19.87,30,33.12,24,26.5,25,27.6
117,Females,Arkansas,20-24 yrs,1999,89045,0,0.0,0,0.0,0,0.0,0,0.0
118,Males,Arkansas,25-29 yrs,1999,88654,15,16.92,23,25.94,10,11.28,14,15.79
119,Females,Arkansas,25-29 yrs,1999,87684,0,0.0,0,0.0,0,0.0,0,0.0
120,Males,Arkansas,30-34 yrs,1999,87395,12,13.73,21,24.03,19,21.74,22,25.17
121,Females,Arkansas,30-34 yrs,1999,87562,0,0.0,11,12.56,0,0.0,0,0.0
122,Males,Arkansas,35-39 yrs,1999,98967,17,17.18,25,25.26,0,0.0,16,16.17
123,Females,Arkansas,35-39 yrs,1999,100929,0,0.0,0,0.0,0,0.0,0,0.0
124,Males,Arkansas,40-44 yrs,1999,96306,19,19.73,27,28.04,0,0.0,13,13.5
125,Females,Arkansas,40-44 yrs,1999,98680,0,0.0,0,0.0,0,0.0,10,10.13
126,Males,Arkansas,45-49 yrs,1999,87212,14,16.05,19,21.79,0,0.0,0,0.0
127,Females,Arkansas,45-49 yrs,1999,91129,0,0.0,0,0.0,0,0.0,0,0.0
128,Males,Arkansas,50-54 yrs,1999,79096,10,12.64,17,21.49,0,0.0,0,0.0
129,Females,Arkansas,50-54 yrs,1999,82606,0,0.0,0,0.0,0,0.0,0,0.0
130,Males,Arkansas,55-59 yrs,1999,64874,15,23.12,17,26.2,0,0.0,0,0.0
131,Females,Arkansas,55-59 yrs,1999,70390,0,0.0,0,0.0,0,0.0,0,0.0
132,Males,Arkansas,60-64 yrs,1999,55007,0,0.0,0,0.0,0,0.0,0,0.0
133,Females,Arkansas,60-64 yrs,1999,60746,0,0.0,0,0.0,0,0.0,0,0.0
134,Males,Arkansas,65-69 yrs,1999,48436,11,22.71,11,22.71,0,0.0,0,0.0
135,Females,Arkansas,65-69 yrs,1999,56325,0,0.0,0,0.0,0,0.0,0,0.0
136,Males,Arkansas,70-74 yrs,1999,40957,0,0.0,11,26.86,0,0.0,0,0.0
137,Females,Arkansas,70-74 yrs,1999,52218,0,0.0,0,0.0,0,0.0,0,0.0
138,Males,Arkansas,75-79 yrs,1999,31307,20,63.88,21,67.08,0,0.0,0,0.0
139,Females,Arkansas,75-79 yrs,1999,45026,0,0.0,0,0.0,0,0.0,0,0.0
140,Males,Arkansas,80-84 yrs,1999,19232,0,0.0,0,0.0,0,0.0,0,0.0
141,Females,Arkansas,80-84 yrs,1999,33233,0,0.0,0,0.0,0,0.0,0,0.0
142,Males,Arkansas,85+ yrs,1999,13298,10,75.2,12,90.24,0,0.0,0,0.0
143,Females,Arkansas,85+ yrs,1999,32564,0,0.0,0,0.0,0,0.0,0,0.0
144,Males,California,00-04 yrs,1999,1285758,0,0.0,0,0.0,0,0.0,36,2.8
145,Females,California,00-04 yrs,1999,1226389,0,0.0,0,0.0,0,0.0,39,3.18
146,Males,California,05-09 yrs,1999,1408253,0,0.0,0,0.0,0,0.0,13,0.92
147,Females,California,05-09 yrs,1999,1340635,0,0.0,0,0.0,0,0.0,0,0.0
148,Males,California,10-14 yrs,1999,1279635,0,0.0,17,1.33,21,1.64,27,2.11
149,Females,California,10-14 yrs,1999,1218255,0,0.0,0,0.0,0,0.0,10,0.82
150,Males,California,15-19 yrs,1999,1248484,51,4.08,86,6.89,249,19.94,275,22.03
151,Females,California,15-19 yrs,1999,1154633,10,0.87,21,1.82,30,2.6,44,3.81
152,Males,California,20-24 yrs,1999,1207242,100,8.28,193,15.99,318,26.34,371,30.73
153,Females,California,20-24 yrs,1999,1095927,0,0.0,26,2.37,21,1.92,42,3.83
154,Males,California,25-29 yrs,1999,1322659,77,5.82,178,13.46,210,15.88,263,19.88
155,Females,California,25-29 yrs,1999,1241325,13,1.05,48,3.87,20,1.61,35,2.82
156,Males,California,30-34 yrs,1999,1396298,95,6.8,226,16.19,122,8.74,166,11.89
157,Females,California,30-34 yrs,1999,1318261,20,1.52,63,4.78,21,1.59,41,3.11
158,Males,California,35-39 yrs,1999,1438823,118,8.2,259,18.0,107,7.44,157,10.91
159,Females,California,35-39 yrs,1999,1391548,25,1.8,73,5.25,18,1.29,45,3.23
160,Males,California,40-44 yrs,1999,1322124,103,7.79,231,17.47,70,5.29,120,9.08
161,Females,California,40-44 yrs,1999,1309691,23,1.76,84,6.41,20,1.53,38,2.9
162,Males,California,45-49 yrs,1999,1122016,117,10.43,235,20.94,63,5.61,101,9.0
163,Females,California,45-49 yrs,1999,1146993,32,2.79,95,8.28,16,1.39,35,3.05
164,Males,California,50-54 yrs,1999,942363,102,10.82,210,22.28,33,3.5,62,6.58
165,Females,California,50-54 yrs,1999,977938,17,1.74,54,5.52,10,1.02,20,2.05
166,Males,California,55-59 yrs,1999,686730,92,13.4,150,21.84,13,1.89,32,4.66
167,Females,California,55-59 yrs,1999,729172,13,1.78,41,5.62,0,0.0,0,0.0
168,Males,California,60-64 yrs,1999,536409,68,12.68,105,19.57,12,2.24,27,5.03
169,Females,California,60-64 yrs,1999,590736,0,0.0,24,4.06,0,0.0,0,0.0
170,Males,California,65-69 yrs,1999,458231,68,14.84,107,23.35,10,2.18,24,5.24
171,Females,California,65-69 yrs,1999,527374,13,2.47,25,4.74,0,0.0,12,2.28
172,Males,California,70-74 yrs,1999,396863,96,24.19,126,31.75,0,0.0,0,0.0
173,Females,California,70-74 yrs,1999,505536,0,0.0,25,4.95,0,0.0,10,1.98
174,Males,California,75-79 yrs,1999,324356,96,29.6,119,36.69,0,0.0,13,4.01
175,Females,California,75-79 yrs,1999,442332,0,0.0,24,5.43,0,0.0,0,0.0
176,Males,California,80-84 yrs,1999,193155,76,39.35,96,49.7,0,0.0,0,0.0
177,Females,California,80-84 yrs,1999,299796,0,0.0,16,5.34,0,0.0,0,0.0
178,Males,California,85+ yrs,1999,129644,63,48.59,84,64.79,0,0.0,0,0.0
179,Females,California,85+ yrs,1999,283620,10,3.53,24,8.46,0,0.0,0,0.0
180,Males,Colorado,00-04 yrs,1999,149085,0,0.0,0,0.0,0,0.0,0,0.0
181,Females,Colorado,00-04 yrs,1999,142133,0,0.0,0,0.0,0,0.0,0,0.0
182,Males,Colorado,05-09 yrs,1999,156366,0,0.0,0,0.0,0,0.0,0,0.0
183,Females,Colorado,05-09 yrs,1999,148544,0,0.0,0,0.0,0,0.0,0,0.0
184,Males,Colorado,10-14 yrs,1999,157540,0,0.0,0,0.0,0,0.0,0,0.0
185,Females,Colorado,10-14 yrs,1999,148867,0,0.0,0,0.0,0,0.0,0,0.0
186,Males,Colorado,15-19 yrs,1999,157348,20,12.71,33,20.97,21,13.35,25,15.89
187,Females,Colorado,15-19 yrs,1999,145017,0,0.0,0,0.0,0,0.0,0,0.0
188,Males,Colorado,20-24 yrs,1999,155824,21,13.48,38,24.39,15,9.63,21,13.48
189,Females,Colorado,20-24 yrs,1999,138595,0,0.0,0,0.0,0,0.0,0,0.0
190,Males,Colorado,25-29 yrs,1999,172127,26,15.11,46,26.72,19,11.04,28,16.27
191,Females,Colorado,25-29 yrs,1999,154802,0,0.0,0,0.0,0,0.0,10,6.46
192,Males,Colorado,30-34 yrs,1999,170123,24,14.11,40,23.51,0,0.0,12,7.05
193,Females,Colorado,30-34 yrs,1999,157805,0,0.0,0,0.0,0,0.0,0,0.0
194,Males,Colorado,35-39 yrs,1999,188555,23,12.2,51,27.05,10,5.3,13,6.89
195,Females,Colorado,35-39 yrs,1999,183302,0,0.0,15,8.18,0,0.0,0,0.0
196,Males,Colorado,40-44 yrs,1999,184718,25,13.53,55,29.78,0,0.0,16,8.66
197,Females,Colorado,40-44 yrs,1999,182388,0,0.0,14,7.68,0,0.0,0,0.0
198,Males,Colorado,45-49 yrs,1999,163872,24,14.65,41,25.02,0,0.0,10,6.1
199,Females,Colorado,45-49 yrs,1999,163353,0,0.0,19,11.63,0,0.0,0,0.0
200,Males,Colorado,50-54 yrs,1999,133516,24,17.98,41,30.71,0,0.0,0,0.0
201,Females,Colorado,50-54 yrs,1999,132318,0,0.0,0,0.0,0,0.0,0,0.0
202,Males,Colorado,55-59 yrs,1999,92341,16,17.33,24,25.99,0,0.0,0,0.0
203,Females,Colorado,55-59 yrs,1999,94498,0,0.0,0,0.0,0,0.0,0,0.0
204,Males,Colorado,60-64 yrs,1999,69459,0,0.0,13,18.72,0,0.0,0,0.0
205,Females,Colorado,60-64 yrs,1999,72748,0,0.0,0,0.0,0,0.0,0,0.0
206,Males,Colorado,65-69 yrs,1999,57016,15,26.31,17,29.82,0,0.0,0,0.0
207,Females,Colorado,65-69 yrs,1999,63025,0,0.0,0,0.0,0,0.0,0,0.0
208,Males,Colorado,70-74 yrs,1999,46679,15,32.13,16,34.28,0,0.0,0,0.0
209,Females,Colorado,70-74 yrs,1999,57699,0,0.0,0,0.0,0,0.0,0,0.0
210,Males,Colorado,75-79 yrs,1999,35492,13,36.63,14,39.45,0,0.0,0,0.0
211,Females,Colorado,75-79 yrs,1999,48990,0,0.0,0,0.0,0,0.0,0,0.0
212,Males,Colorado,80-84 yrs,1999,20879,11,52.68,13,62.26,0,0.0,0,0.0
213,Females,Colorado,80-84 yrs,1999,33742,0,0.0,0,0.0,0,0.0,0,0.0
214,Males,Colorado,85+ yrs,1999,13720,0,0.0,10,72.89,0,0.0,0,0.0
215,Females,Colorado,85+ yrs,1999,33532,0,0.0,0,0.0,0,0.0,0,0.0
216,Males,Connecticut,00-04 yrs,1999,113898,0,0.0,0,0.0,0,0.0,0,0.0
217,Females,Connecticut,00-04 yrs,1999,108919,0,0.0,0,0.0,0,0.0,0,0.0
218,Males,Connecticut,05-09 yrs,1999,125644,0,0.0,0,0.0,0,0.0,0,0.0
219,Females,Connecticut,05-09 yrs,1999,119741,0,0.0,0,0.0,0,0.0,0,0.0
220,Males,Connecticut,10-14 yrs,1999,120825,0,0.0,0,0.0,0,0.0,0,0.0
221,Females,Connecticut,10-14 yrs,1999,115228,0,0.0,0,0.0,0,0.0,0,0.0
222,Males,Connecticut,15-19 yrs,1999,109549,0,0.0,0,0.0,11,10.04,12,10.95
223,Females,Connecticut,15-19 yrs,1999,103613,0,0.0,0,0.0,0,0.0,0,0.0
224,Males,Connecticut,20-24 yrs,1999,94211,11,11.68,18,19.11,19,20.17,19,20.17
225,Females,Connecticut,20-24 yrs,1999,91683,0,0.0,0,0.0,0,0.0,0,0.0
226,Males,Connecticut,25-29 yrs,1999,103156,0,0.0,15,14.54,16,15.51,16,15.51
227,Females,Connecticut,25-29 yrs,1999,104776,0,0.0,0,0.0,0,0.0,0,0.0
228,Males,Connecticut,30-34 yrs,1999,124842,0,0.0,18,14.42,0,0.0,0,0.0
229,Females,Connecticut,30-34 yrs,1999,129662,0,0.0,0,0.0,0,0.0,0,0.0
230,Males,Connecticut,35-39 yrs,1999,143763,0,0.0,22,15.3,0,0.0,0,0.0
231,Females,Connecticut,35-39 yrs,1999,149312,0,0.0,15,10.05,0,0.0,0,0.0
232,Males,Connecticut,40-44 yrs,1999,140798,10,7.1,16,11.36,0,0.0,10,7.1
233,Females,Connecticut,40-44 yrs,1999,145646,0,0.0,0,0.0,0,0.0,0,0.0
234,Males,Connecticut,45-49 yrs,1999,120900,12,9.93,25,20.68,0,0.0,0,0.0
235,Females,Connecticut,45-49 yrs,1999,125996,0,0.0,0,0.0,0,0.0,0,0.0
236,Males,Connecticut,50-54 yrs,1999,107574,10,9.3,18,16.73,0,0.0,0,0.0
237,Females,Connecticut,50-54 yrs,1999,114850,0,0.0,0,0.0,0,0.0,0,0.0
238,Males,Connecticut,55-59 yrs,1999,83021,0,0.0,15,18.07,0,0.0,0,0.0
239,Females,Connecticut,55-59 yrs,1999,88551,0,0.0,0,0.0,0,0.0,0,0.0
240,Males,Connecticut,60-64 yrs,1999,62088,0,0.0,19,30.6,0,0.0,0,0.0
241,Females,Connecticut,60-64 yrs,1999,68799,0,0.0,0,0.0,0,0.0,0,0.0
242,Males,Connecticut,65-69 yrs,1999,54264,0,0.0,10,18.43,0,0.0,0,0.0
243,Females,Connecticut,65-69 yrs,1999,64101,0,0.0,0,0.0,0,0.0,0,0.0
244,Males,Connecticut,70-74 yrs,1999,50018,0,0.0,10,19.99,0,0.0,0,0.0
245,Females,Connecticut,70-74 yrs,1999,64954,0,0.0,0,0.0,0,0.0,0,0.0
246,Males,Connecticut,75-79 yrs,1999,40944,0,0.0,10,24.42,0,0.0,0,0.0
247,Females,Connecticut,75-79 yrs,1999,59800,0,0.0,0,0.0,0,0.0,0,0.0
248,Males,Connecticut,80-84 yrs,1999,26446,0,0.0,0,0.0,0,0.0,0,0.0
249,Females,Connecticut,80-84 yrs,1999,46008,0,0.0,0,0.0,0,0.0,0,0.0
250,Males,Connecticut,85+ yrs,1999,17312,0,0.0,0,0.0,0,0.0,0,0.0
251,Females,Connecticut,85+ yrs,1999,45509,0,0.0,0,0.0,0,0.0,0,0.0
252,Males,Delaware,00-04 yrs,1999,26061,0,0.0,0,0.0,0,0.0,0,0.0
253,Females,Delaware,00-04 yrs,1999,25008,0,0.0,0,0.0,0,0.0,0,0.0
254,Males,Delaware,05-09 yrs,1999,28683,0,0.0,0,0.0,0,0.0,0,0.0
255,Females,Delaware,05-09 yrs,1999,27085,0,0.0,0,0.0,0,0.0,0,0.0
256,Males,Delaware,10-14 yrs,1999,27675,0,0.0,0,0.0,0,0.0,0,0.0
257,Females,Delaware,10-14 yrs,1999,26385,0,0.0,0,0.0,0,0.0,0,0.0
258,Males,Delaware,15-19 yrs,1999,27531,0,0.0,0,0.0,0,0.0,0,0.0
259,Females,Delaware,15-19 yrs,1999,27299,0,0.0,0,0.0,0,0.0,0,0.0
260,Males,Delaware,20-24 yrs,1999,24823,0,0.0,0,0.0,0,0.0,0,0.0
261,Females,Delaware,20-24 yrs,1999,25263,0,0.0,0,0.0,0,0.0,0,0.0
262,Males,Delaware,25-29 yrs,1999,26448,0,0.0,0,0.0,0,0.0,0,0.0
263,Females,Delaware,25-29 yrs,1999,26844,0,0.0,0,0.0,0,0.0,0,0.0
264,Males,Delaware,30-34 yrs,1999,28492,0,0.0,0,0.0,0,0.0,0,0.0
265,Females,Delaware,30-34 yrs,1999,29265,0,0.0,0,0.0,0,0.0,0,0.0
266,Males,Delaware,35-39 yrs,1999,31894,0,0.0,12,37.62,0,0.0,0,0.0
267,Females,Delaware,35-39 yrs,1999,32964,0,0.0,0,0.0,0,0.0,0,0.0
268,Males,Delaware,40-44 yrs,1999,30436,0,0.0,11,36.14,0,0.0,0,0.0
269,Females,Delaware,40-44 yrs,1999,31536,0,0.0,0,0.0,0,0.0,0,0.0
270,Males,Delaware,45-49 yrs,1999,25815,0,0.0,11,42.61,0,0.0,0,0.0
271,Females,Delaware,45-49 yrs,1999,27536,0,0.0,0,0.0,0,0.0,0,0.0
272,Males,Delaware,50-54 yrs,1999,22935,0,0.0,0,0.0,0,0.0,0,0.0
273,Females,Delaware,50-54 yrs,1999,24542,0,0.0,0,0.0,0,0.0,0,0.0
274,Males,Delaware,55-59 yrs,1999,18193,0,0.0,0,0.0,0,0.0,0,0.0
275,Females,Delaware,55-59 yrs,1999,19916,0,0.0,0,0.0,0,0.0,0,0.0
276,Males,Delaware,60-64 yrs,1999,15037,0,0.0,0,0.0,0,0.0,0,0.0
277,Females,Delaware,60-64 yrs,1999,16740,0,0.0,0,0.0,0,0.0,0,0.0
278,Males,Delaware,65-69 yrs,1999,13965,0,0.0,0,0.0,0,0.0,0,0.0
279,Females,Delaware,65-69 yrs,1999,15826,0,0.0,0,0.0,0,0.0,0,0.0
280,Males,Delaware,70-74 yrs,1999,11823,0,0.0,0,0.0,0,0.0,0,0.0
281,Females,Delaware,70-74 yrs,1999,14581,0,0.0,0,0.0,0,0.0,0,0.0
282,Males,Delaware,75-79 yrs,1999,8665,0,0.0,0,0.0,0,0.0,0,0.0
283,Females,Delaware,75-79 yrs,1999,12319,0,0.0,0,0.0,0,0.0,0,0.0
284,Males,Delaware,80-84 yrs,1999,4935,0,0.0,0,0.0,0,0.0,0,0.0
285,Females,Delaware,80-84 yrs,1999,8231,0,0.0,0,0.0,0,0.0,0,0.0
286,Males,Delaware,85+ yrs,1999,2847,0,0.0,0,0.0,0,0.0,0,0.0
287,Females,Delaware,85+ yrs,1999,7392,0,0.0,0,0.0,0,0.0,0,0.0
